Repetition	ExactVolume	Estimate	MeanEstimate	Variance	CVar2
40	3.2985089027387064	3.317209548096713	3.304941727580204	0.01473703281926773	0.0013574459119916815
41	3.2985089027387064	3.17144725910151	3.301763287854521	0.014801897116179186	0.0013658497750455461
42	3.2985089027387064	3.249186912844565	3.3005405814589404	0.0145137564643465	0.0013400695341832844
43	3.2985089027387064	3.3560907124895865	3.3018030844369095	0.01424635945009819	0.001314202105328743
44	3.2985089027387064	3.423990917018781	3.3045183696053955	0.01425435336308406	0.0013126146575999128
45	3.2985089027387064	3.585738030488056	3.310631840494149	0.015656818165166803	0.001436268507389766
46	3.2985089027387064	3.262177517510031	3.3096008974519338	0.015366406200026295	0.0014103438623308496
47	3.2985089027387064	3.3263152547948325	3.309949113229911	0.015045281590205323	0.0013804280221621963
48	3.2985089027387064	3.426987409826265	3.3123376498951425	0.015011388486399367	0.0013751871864425343
49	3.2985089027387064	3.477430711244888	3.3156395111221375	0.01525014799744661	0.001394137173747289
50	3.2985089027387064	3.177028880671486	3.312921655623105	0.015321868701692326	0.0014028560147138801
51	3.2985089027387064	3.388986914787776	3.314384449068579	0.015132707666154325	0.0013841840112469698
52	3.2985089027387064	3.1801661097028924	3.3118520275711134	0.015181591465153643	0.0013906543355721751
53	3.2985089027387064	3.2253580027916655	3.310250286371494	0.015033687386179755	0.0013783192899835608
54	3.2985089027387064	3.1730023605602207	3.3077548695385617	0.015097776552271654	0.0013861682636596214
55	3.2985089027387064	3.142262240304338	3.304799644016522	0.015312339565670966	0.0014082695236855014
56	3.2985089027387064	2.9982514801278026	3.299421606053562	0.01668753259343891	0.001539632727717593
57	3.2985089027387064	3.2401624082405673	3.2983998957464418	0.01645531459692669	0.001519034052585331
58	3.2985089027387064	3.437749321959405	3.3007617504280176	0.01650072537096599	0.0015209362928107887
59	3.2985089027387064	3.2181626874622418	3.299385099378588	0.016334762146307424	0.0015067895460050525
60	3.2985089027387064	3.443929036543139	3.3017546721189905	0.016405023483831202	0.0015109966877547957
61	3.2985089027387064	3.302354452860883	3.3017643460019244	0.016136094474829537	0.001486120233774478
62	3.2985089027387064	3.525215262156371	3.3053111859408837	0.016668379520339508	0.0015317526979217596
63	3.2985089027387064	3.304375373655904	3.305296563873931	0.016403815751145596	0.0015073606591612604
64	3.2985089027387064	3.2772148514618964	3.3048645375291303	0.016159638169603054	0.0014852223148078929
65	3.2985089027387064	3.4151362183057503	3.3065353205712005	0.016095268405871294	0.0014777257393919362
66	3.2985089027387064	3.296694755011348	3.306388446458367	0.01585284602708842	0.0014555159805093403
67	3.2985089027387064	3.2557545303300737	3.3056438300447155	0.01565393922992964	0.001437822481967995
68	3.2985089027387064	3.4691732399712163	3.3080138214929256	0.015811297544310866	0.0014501187486906837
69	3.2985089027387064	3.3083047252921793	3.3080179772614864	0.015582149513467109	0.0014290253522469547
70	3.2985089027387064	3.1218105798342646	3.305395337861103	0.01584790223469592	0.0014556316265547042
71	3.2985089027387064	3.219502548167301	3.3042023824486892	0.01572715861241895	0.0014455141315899318
72	3.2985089027387064	3.3699307701458983	3.3051027713212537	0.015567906962807306	0.0014300297080739911
73	3.2985089027387064	3.288742899372845	3.3048816919705994	0.015358264793183935	0.0014108961708526207
74	3.2985089027387064	3.2730802270935406	3.304457672438905	0.015164205116601482	0.0013933637400682754
75	3.2985089027387064	3.4826689489959652	3.3068025576567615	0.015379900703100701	0.0014111177591457985
76	3.2985089027387064	3.0379302532893506	3.303310709548094	0.016116394836064682	0.0014817563969470875
77	3.2985089027387064	3.315061317020813	3.3034613583618464	0.01590886122210152	0.001462481478554354
78	3.2985089027387064	3.3709831668367016	3.304316064798237	0.015762612787143998	0.0014482289444616083
79	3.2985089027387064	3.2050392495770885	3.3030751046079727	0.01568628461850861	0.001442242361363128
80	3.2985089027387064	3.4072157641918768	3.3043607917633295	0.015624098369154668	0.0014353519203049135
81	3.2985089027387064	3.318003367342484	3.304527164636246	0.015433478020324857	0.0014176440824801855
82	3.2985089027387064	3.2771456212204297	3.3041972665228028	0.01525429799325158	0.0014014139644557713
83	3.2985089027387064	3.0818064959046656	3.3015497573487775	0.015659292875871426	0.001440877555898411
84	3.2985089027387064	3.2218417016852654	3.300612015517442	0.015547618300677331	0.0014313649529613605
85	3.2985089027387064	3.1613268860218797	3.298992420988424	0.015590290577903374	0.0014366541333678611
86	3.2985089027387064	3.459017604131891	3.300831790909613	0.01570335363783	0.0014454125034644547
87	3.2985089027387064	3.459488540318764	3.302634708516535	0.01580890036712059	0.001453491923267119
88	3.2985089027387064	3.343068514150397	3.3030890209393875	0.015647623352242335	0.0014382223886999698
89	3.2985089027387064	3.1791039551008726	3.3017114090967374	0.01564261065453141	0.0014389169089167372
90	3.2985089027387064	3.298695202438715	3.3016782639686273	0.015468903842037147	0.0014229233931909002
91	3.2985089027387064	3.142530867142109	3.2999484009596434	0.015574219082475322	0.0014340705880771783
92	3.2985089027387064	3.294661500517089	3.299891552567788	0.015405234644236475	0.0014185180768855699
93	3.2985089027387064	3.4050312925032573	3.301010060439442	0.015357186586631315	0.0014130953598672702
94	3.2985089027387064	3.2943043453817773	3.3009394739651507	0.015194285594025142	0.0013981267399335166
95	3.2985089027387064	3.341531320608603	3.30136230570102	0.015051509266645374	0.0013845963387248566
96	3.2985089027387064	3.334194448000185	3.301700781394826	0.014905835593928328	0.0013708779072979824
97	3.2985089027387064	3.207189754339445	3.300736383159567	0.014843313453448222	0.0013658897987056213
98	3.2985089027387064	3.245622103757888	3.3001796732666207	0.014722533735855697	0.0013551978654674245
99	3.2985089027387064	3.4179418786795397	3.30135729532075	0.014712500644114501	0.0013532742488647428
